Designator,Mid X,Mid Y,Layer,Rotation
R3,58.75,-52.38,T,0.00
R3,153.75,-170.38,T,0.00
R3,58.75,-170.38,T,0.00
R3,153.75,-52.38,T,0.00
R4,158.75,-52.38,T,180.00
R4,63.75,-52.38,T,180.00
R4,158.75,-170.38,T,180.00
R4,63.75,-170.38,T,180.00
R4,63.75,-111.38,T,180.00
R4,158.75,-111.38,T,180.00
R5,171.75,-51.25,T,225.00
R5,76.75,-51.25,T,225.00
R5,76.75,-110.25,T,225.00
R5,171.75,-110.25,T,225.00
R5,171.75,-169.25,T,225.00
R5,76.75,-169.25,T,225.00
R6,81.75,-160.25,T,45.00
R6,176.75,-160.25,T,45.00
R6,176.75,-101.25,T,45.00
R6,81.75,-42.25,T,45.00
R6,176.75,-42.25,T,45.00
R6,81.75,-101.25,T,45.00
R7,179.00,-109.00,T,315.00
R7,84.00,-168.00,T,315.00
R7,179.00,-50.00,T,315.00
R7,84.00,-50.00,T,315.00
R7,84.00,-109.00,T,315.00
R7,179.00,-168.00,T,315.00
R8,183.54,-133.25,T,180.00
R8,183.54,-74.25,T,180.00
R8,183.54,-15.25,T,180.00
R8,88.54,-15.25,T,180.00
R8,88.54,-74.25,T,180.00
R8,88.54,-133.25,T,180.00
R9,88.54,-18.25,T,180.00
R9,183.54,-18.25,T,180.00
R9,183.54,-136.25,T,180.00
R9,88.54,-77.25,T,180.00
R9,88.54,-136.25,T,180.00
R9,183.54,-77.25,T,180.00
R10,88.54,-139.25,T,180.00
R10,88.54,-21.25,T,180.00
R10,183.54,-80.25,T,180.00
R10,183.54,-21.25,T,180.00
R10,88.54,-80.25,T,180.00
R10,183.54,-139.25,T,180.00
SW1,152.00,-56.00,T,0.00
SW1,152.00,-115.00,T,0.00
SW1,57.00,-115.00,T,0.00
SW1,57.00,-174.00,T,0.00
SW1,152.00,-174.00,T,0.00
SW1,57.00,-56.00,T,0.00
SW2,160.50,-174.00,T,0.00
SW2,65.50,-56.00,T,0.00
SW2,65.50,-174.00,T,0.00
SW2,160.50,-56.00,T,0.00
SW2,160.50,-115.00,T,0.00
SW2,65.50,-115.00,T,0.00
U1,80.03,-47.50,T,135.00
U1,175.03,-47.50,T,135.00
U1,80.03,-106.50,T,135.00
U1,175.03,-165.50,T,135.00
U1,175.03,-106.50,T,135.00
U1,80.03,-165.50,T,135.00
U2,66.25,-39.25,T,90.00
U2,161.25,-98.25,T,90.00
U2,161.25,-157.25,T,90.00
U2,161.25,-39.25,T,90.00
U2,66.25,-98.25,T,90.00
U2,66.25,-157.25,T,90.00
U3,67.00,-48.75,T,180.00
U3,162.00,-166.75,T,180.00
U3,67.00,-107.75,T,180.00
U3,162.00,-48.75,T,180.00
U3,162.00,-107.75,T,180.00
U3,67.00,-166.75,T,180.00
U4,71.20,-40.85,T,90.00
U4,166.20,-99.85,T,90.00
U4,166.20,-40.85,T,90.00
U4,166.20,-158.85,T,90.00
U4,71.20,-158.85,T,90.00
U4,71.20,-99.85,T,90.00
Y1,167.50,-171.00,T,0.00
Y1,167.50,-112.00,T,0.00
Y1,72.50,-53.00,T,0.00
Y1,167.50,-53.00,T,0.00
Y1,72.50,-171.00,T,0.00
Y1,72.50,-112.00,T,0.00
